Level,Recommendations
psv,reflect housing service unit os organizational structure direct supervision student service director
psv,improve dwindle enrollment development communication program massive campaignsinformation drive andor offering scholarship program attract enrollee
psv,update revise university student handbook reflect policy approve board regent matter pertain student development student development program b policy student housing service provision policy accreditation student organization c list selection athlete e student organization f provision sbo scholar g scholarship grant benefit privilege others also suggest objective student service program specifically define encompass different student service program
psv,revise guidance manual incorporate development pertinent student guidance service
psv,regularly monitor evaluate student activity ensure effectiveness student service program
psv,provide alumnus directory encourage active participation support graduate improvement program
psv,fund warrant increase budget allocation student service program ensure implementation schedule
psv,encourage student service personnel attend seminar training related function role designate official
psv,regularly school organ inform community university program student activity university accomplishment development
psv,fund permit organize university band compose talented student grant scholarshipassistantship incentive primarily support socio cultural activity university likewise serf advertisement university whenever invite perform outside school
psv,grant housing privilege university scholar consider
psv,organize conduct alumnus homecoming strengthen support alumnus upcoming projectsactivities student service program
