Level,Recommendations
4,research operation manual need revisit address recent development university along governance thrust administration
4,suggest science technology journal publish regularly avenue dissemination research output faculty student
4,recommend piece evidence provide show research output publish refereed journal nationalinternational circulation
4,administration consider allocation fund support student research activity fund warrant
4,technology knowledge generate research undertaking package transfer intend clientele beneficiary
4,departmentprogram survey revisit research agenda make comprehensive include detail name researcher period study budget schedule implementation
4,need revisit exist faculty development program encompass holistic development faculty far design capture longrange plan relate enhancement research capability faculty
4,mature technology generate research activity potential commercialization consider
4,administration devise strategy encourage increase participation faculty conduct research
4,document duly sign concerned authority
