Level,Recommendations
1,additional way find sign outside and inside the building must be provide like ise painting of pathway to match the exist old green is suggest
1,provide appropriate facility for person with disability pwd
1,finish or plaster of the newly construct wing of the college building is recommend
1,material recovery facility may be require to operate regularly
1,regularannual pest control check can be do for maintenance of building office classroom and other important facility
1,functional drinking facility can be instal inside the college and indoor facility for athletics
1,college canteen can be improve or if the budget warrant construct a new building for food service to accommodate more student
1,comfort room should be maintain properly
1,landscape of the open space and roof of the stage is suggest to make it more functional
1,dedicate faculty lounge can be provide aside from the space inside the faculty room for the faculty to relax or receive visitor
1,completion of the powerhouse is suggest to provide well electrical service to the campus
